,Entity,Total_Meat_Consumption,Total_CO2_emission,Total_land_use,Total_water_use,Year
1537,Mexico,9478881959.960392,649670826.1599644,489646605254.9772,72136895910318.73,2021
1538,Mexico,9856667368.859673,672675549.7331183,507264621850.11346,74870503813240.28,2022
1539,Mexico,10244402365.078724,696286139.7599955,525346637293.2338,77676105683867.94,2023
1540,Mexico,10650188948.5864,720995956.4003129,544270488225.3058,80612326579238.34,2024
1546,Mexico,11070511868.3546,746590943.2710375,563872240969.9878,83653730583181.06,2025
1544,Mexico,11508266745.276306,773247425.229208,584286932762.0272,86821270045814.62,2026
1545,Mexico,11962868590.293634,800929780.1696486,605487282645.9216,90110712059583.33,2027
1542,Mexico,12435682257.65599,829721119.0172005,627536940578.0999,93531932538894.22,2028
1547,Mexico,12927043714.393528,859641900.0227019,650451574375.7227,97087362499099.17,2029
1541,Mexico,13437896477.08159,890749577.3320549,674275184919.4241,100783829107966.27,2030
1543,Mexico,13968895194.976154,923084014.9125179,699038301766.948,104626069325519.97,2031
